workflow_bandwidth_m,workflow_step,analysis_step,sample_definition,margin,bandwidth_m,formula,included_continuous_controls,included_categorical_controls,dropped_controls,n_obs,n_inside,n_outside,tau_hat,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,focal_school_name,is_estimable,significant_10pct,significant_5pct,significant_1pct,quadrant,mean_inside_year,mean_outside_year,smd_year,mean_inside_floor_area_sqm,mean_outside_floor_area_sqm,smd_floor_area_sqm,mean_inside_remaining_lease,mean_outside_remaining_lease,smd_remaining_lease,mean_inside_num_nearby_malls,mean_outside_num_nearby_malls,smd_num_nearby_malls,mean_inside_num_nearby_mrt,mean_outside_num_nearby_mrt,smd_num_nearby_mrt,mean_inside_num_unique_mrt_lines,mean_outside_num_unique_mrt_lines,smd_num_unique_mrt_lines,tvd_flat_type,tvd_storey_range,tvd_flat_model,tvd_year_quarter,max_abs_smd_numeric,max_tvd_categorical,flat_type,tvd_quadrant
100,pooled,01_pooled_period_aware_rdd,"period-aware, controls-only",0_to_1,100.0,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + C(school_quadrant) + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,19756,9478,10278,-0.0057278691813744,0.0025144091370237,0.02272550736135,-0.0106560205323393,-0.0007997178304096,-0.5711496214348522,0.943191296891327,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,702,346,356,0.0361138235493985,0.0122104014021152,0.0031001613212151,0.0121818765644752,0.0600457705343217,3.6773849054484,0.9730987977628346,ok,KONG HWA SCHOOL,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1254,556,698,0.0209950391826521,0.0073771495834017,0.0044278386799047,0.0065360916906199,0.0354539866746842,2.1216985554024737,0.9639102118830548,ok,RED SWASTIKA SCHOOL,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1074,541,533,-0.0215690004329733,0.0094172743655852,0.0220001369765715,-0.0400265190220527,-0.0031114818438939,-2.1338052958720377,0.9229784060409713,ok,FRONTIER PRIMARY SCHOOL,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1795,843,952,0.0094287536483805,0.0047138729996309,0.0454771863456675,0.0001897323414082,0.0186677749553529,0.9473344380886984,0.9686904916529788,ok,SOUTH VIEW PRIMARY SCHOOL,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1336,662,674,-0.0133186773594314,0.0069683904152064,0.0559661725355099,-0.0269764716034502,0.0003391168845872,-1.323037622892853,0.9749902500080816,ok,PRINCESS ELIZABETH PRIMARY SCHOOL,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt,num_unique_mrt_lines:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,283,150,133,-0.2506896894084995,0.1427268146722957,0.0790149778745779,-0.5304291057943222,0.029049726977323,-22.173616239592565,0.97768370426318,ok,FAIRFIELD METHODIST SCHOOL (PRIMARY),True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1571,866,705,0.010674549177832,0.0073928316412327,0.1487656007798514,-0.0038151345827523,0.0251642329384164,1.0731725440414897,0.9758371577287864,ok,CHONGFU SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,304,121,183,-0.0308154212266229,0.0247027152707292,0.2122322600448075,-0.0792318534775999,0.017601011024354,-3.0345465796172033,0.9889255834393528,ok,MARIS STELLA HIGH SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(quadrant) + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,quadrant; flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,1229,631,598,0.0071956158014629,0.0062866946957963,0.2523837884241594,-0.0051260793840967,0.0195173109870227,0.7221566451137695,0.972942940045012,ok,ST. HILDA'S PRIMARY SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,school,02_school_period_aware_rdd,,,,log_resale_price ~ inside_focal + r_km + inside_focal:r_km + floor_area_sqm + remaining_lease + C(flat_type) + C(storey_range) + C(flat_model) + C(year_quarter) + C(num_nearby_malls) + C(num_nearby_mrt) + C(num_unique_mrt_lines),floor_area_sqm; remaining_lease,flat_type; storey_range; flat_model; year_quarter; num_nearby_malls; num_nearby_mrt; num_unique_mrt_lines,quadrant:constant; floor_area_global_tercile:excluded_by_design; remaining_lease_tercile:excluded_by_design,111,30,81,0.1076921331034128,0.1016026265477204,0.2891743812640116,-0.0914453556647923,0.306829621871618,11.370481975487913,0.9587118682737844,ok,AI TONG SCHOOL,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
