workflow_bandwidth_m,workflow_step,analysis_step,focal_school_name,quadrant,flat_type,n_obs,n_inside,n_outside,tau_hat,coefficient,tau_se,tau_pvalue,tau_ci_low,tau_ci_high,tau_pct_approx,r_squared,status,is_estimable,significant_10pct,significant_5pct,significant_1pct,max_abs_smd_numeric,max_tvd_categorical
100,pooled,01_pooled_period_aware_rdd,,,,3863,1657,2206,0.0040511677062216,0.4059384778612562,0.0054093597640661,0.4539065402061053,-0.006550982610768,0.0146533180232112,0.4059384778612562,0.968927887636984,ok,,,,,,
100,school,02_school_period_aware_rdd,CATHOLIC HIGH SCHOOL,,,568,346,222,-0.0223043352284779,-2.205743261655424,0.0148778043085685,0.133829930580202,-0.051464295842307,0.0068556253853511,-2.205743261655424,0.978344777344894,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,,133,98,35,-0.0547099947300981,-5.324032656073108,0.0376134678197184,0.1457988523776587,-0.1284310369904027,0.0190110475302063,-5.324032656073108,0.9902912454937808,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHIJ PRIMARY (TOA PAYOH),,,424,275,149,0.0206803923626996,2.089571342331653,0.0155723514508001,0.1841715382933529,-0.0098408556354687,0.0512016403608681,2.089571342331653,0.9833919013155548,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,PEI CHUN PUBLIC SCHOOL,,,1070,368,702,0.0130576771352632,1.3143300877859865,0.0108499790633391,0.2287926106083374,-0.008207891061895,0.0343232453324216,1.3143300877859865,0.970556596327192,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,,,526,221,305,0.0157200346643368,1.5844244416274522,0.0164749418700623,0.3399933158932438,-0.0165702580483763,0.0480103273770499,1.5844244416274522,0.9745613386105624,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,METHODIST GIRLS' SCHOOL (PRIMARY),,,75,33,42,0.043824540662829,4.479901906156147,0.0540659984070538,0.4176098421863641,-0.0621428690031964,0.1497919503288545,4.479901906156147,0.9815466596789412,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,NORTHLAND PRIMARY SCHOOL,,,303,107,196,0.0126381781199174,1.2718377394460134,0.0156105866597213,0.4181757370773605,-0.0179580095106779,0.0432343657505127,1.2718377394460134,0.9680234214908248,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,AI TONG SCHOOL,,,468,171,297,-0.0073235677716405,-0.7296815795660994,0.0152034228394446,0.6300153847396026,-0.0371217289786858,0.0224745934354047,-0.7296815795660994,0.9703105017548082,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,CHONGFU SCHOOL,,,172,25,147,0.0016220748874946,0.16233911625676,0.057754118034772,0.9775936604707446,-0.1115739164195338,0.1148180661945231,0.16233911625676,0.9909311308086194,ok,True,False,False,False,,
100,school,02_school_period_aware_rdd,ANGLO-CHINESE SCHOOL (JUNIOR),,,95,13,82,,,,,,,,,insufficient_sample,False,False,False,False,,
